source,relative_path,actor,source_label,target_label,split_group,file_ext
osf_smile_types,OSF Smile Types/Types of Smiles/Joeseph_Anger.mp4,Joeseph,Anger,negative_other,Joeseph,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Joeseph_Disgust.mp4,Joeseph,Disgust,negative_other,Joeseph,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Joeseph_Dominance.mp4,Joeseph,Dominance,dominance,Joeseph,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Joeseph_Reward.mp4,Joeseph,Reward,reward,Joeseph,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Joeseph_Sadness.mp4,Joeseph,Sadness,frown_candidate,Joeseph,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jourdan_Affiliation.mp4,Jourdan,Affiliation,affiliative,Jourdan,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jourdan_Anger.mp4,Jourdan,Anger,negative_other,Jourdan,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jourdan_Disgust.mp4,Jourdan,Disgust,negative_other,Jourdan,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jourdan_Dominance.mp4,Jourdan,Dominance,dominance,Jourdan,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jourdan_Reward.mp4,Jourdan,Reward,reward,Jourdan,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Jourdan_Sadness.mp4,Jourdan,Sadness,frown_candidate,Jourdan,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/KJ_Affiliation.mp4,KJ,Affiliation,affiliative,KJ,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/KJ_Anger.mp4,KJ,Anger,negative_other,KJ,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/KJ_Disgust.mp4,KJ,Disgust,negative_other,KJ,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/KJ_Dominance.mp4,KJ,Dominance,dominance,KJ,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/KJ_Reward.mp4,KJ,Reward,reward,KJ,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/KJ_Sadness.mp4,KJ,Sadness,frown_candidate,KJ,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Lulu_Affiliation.mp4,Lulu,Affiliation,affiliative,Lulu,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Lulu_Anger.mp4,Lulu,Anger,negative_other,Lulu,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Lulu_Disgust.mp4,Lulu,Disgust,negative_other,Lulu,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Lulu_Dominance.mp4,Lulu,Dominance,dominance,Lulu,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Lulu_Reward.mp4,Lulu,Reward,reward,Lulu,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Lulu_Sadness.mp4,Lulu,Sadness,frown_candidate,Lulu,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Marcus_Affiliation.mp4,Marcus,Affiliation,affiliative,Marcus,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Marcus_Anger.mp4,Marcus,Anger,negative_other,Marcus,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Marcus_Disgust.mp4,Marcus,Disgust,negative_other,Marcus,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Marcus_Dominance.mp4,Marcus,Dominance,dominance,Marcus,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Marcus_Reward.mp4,Marcus,Reward,reward,Marcus,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Marcus_Sadness.mp4,Marcus,Sadness,frown_candidate,Marcus,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Mary_Affiliation.mp4,Mary,Affiliation,affiliative,Mary,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Mary_Anger.mp4,Mary,Anger,negative_other,Mary,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Mary_Disgust.mp4,Mary,Disgust,negative_other,Mary,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Mary_Dominance.mp4,Mary,Dominance,dominance,Mary,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Mary_Reward.mp4,Mary,Reward,reward,Mary,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Mary_Sadness.mp4,Mary,Sadness,frown_candidate,Mary,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Maurice_Affiliation.mp4,Maurice,Affiliation,affiliative,Maurice,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Maurice_Anger.mp4,Maurice,Anger,negative_other,Maurice,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Maurice_Disgust.mp4,Maurice,Disgust,negative_other,Maurice,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Maurice_Dominance.mp4,Maurice,Dominance,dominance,Maurice,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Maurice_Reward.mp4,Maurice,Reward,reward,Maurice,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Maurice_Sadness.mp4,Maurice,Sadness,frown_candidate,Maurice,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Naomi_Affiliation.mp4,Naomi,Affiliation,affiliative,Naomi,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Naomi_Anger.mp4,Naomi,Anger,negative_other,Naomi,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Naomi_Disgust.mp4,Naomi,Disgust,negative_other,Naomi,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Naomi_Dominance.mp4,Naomi,Dominance,dominance,Naomi,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Naomi_Reward.mp4,Naomi,Reward,reward,Naomi,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Naomi_Sadness.mp4,Naomi,Sadness,frown_candidate,Naomi,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Zach_Affiliation.mp4,Zach,Affiliation,affiliative,Zach,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Zach_Anger.mp4,Zach,Anger,negative_other,Zach,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Zach_Disgust.mp4,Zach,Disgust,negative_other,Zach,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Zach_Dominance.mp4,Zach,Dominance,dominance,Zach,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Zach_Reward.mp4,Zach,Reward,reward,Zach,mp4
osf_smile_types,OSF Smile Types/Types of Smiles/Zach_Sadness.mp4,Zach,Sadness,frown_candidate,Zach,mp4
